ticker,strategy,weight,train_total_return_pct,train_sharpe,train_max_drawdown_pct,train_win_rate_pct,train_num_trades
AAPL,obv_trend,0.49254134913341757,4.998137997452878,0.4334208112311159,-11.549510904988669,27.27272727272727,22
AAPL,donchian_breakout,0.31338722070880315,3.4962335450575477,0.33729274733229514,-7.123592193063233,42.857142857142854,7
AAPL,ema_crossover,0.19407143015777925,3.2701564373570857,0.2610924810036297,-10.74291237119871,26.31578947368421,19
AAPL,macd,0.0,-32.61761958223819,-3.3385615592480375,-36.60862512706606,17.647058823529413,68
AAPL,rsi_reversion,0.0,-6.61405046837924,-1.0111691987980926,-11.909300592027783,35.294117647058826,17
AAPL,bollinger_reversion,0.0,-0.39736917980724984,-0.034734833561238326,-7.076483152087453,53.84615384615385,13
AAPL,adx_trend,0.0,-22.370270201570076,-1.9118278876471186,-24.2651758949181,32.05128205128205,78
AAPL,tsmom_63h,0.0,-9.523451852201092,-0.5631902015550168,-22.250446128730594,29.411764705882355,51
AAPL,volume_momentum,0.0,-5.9452164378080985,-0.33057864180192836,-18.173014289047764,29.166666666666668,48
AMZN,donchian_breakout,1.0,-4.038440552677603,-0.22897286866539146,-11.23999700524152,30.0,10
AMZN,ema_crossover,0.0,-8.166688223612528,-0.6133462684460252,-12.766791175725256,31.57894736842105,19
AMZN,macd,0.0,-17.60157354908677,-1.6842152274471252,-17.740128018121204,30.508474576271187,59
AMZN,rsi_reversion,0.0,-11.47943163210401,-1.3169257847177114,-12.344664088807257,36.0,25
AMZN,bollinger_reversion,0.0,-12.979772793342804,-1.3622029288081035,-13.826690681760368,26.666666666666668,15
AMZN,adx_trend,0.0,-14.87266213893309,-1.156868446681951,-17.59061627966484,30.64516129032258,62
AMZN,obv_trend,0.0,-19.46532632602176,-1.9097330375471486,-19.875030339079892,25.806451612903224,31
AMZN,tsmom_63h,0.0,-15.166095458700369,-1.0241259147037858,-18.002459865575126,25.454545454545453,55
AMZN,volume_momentum,0.0,-4.857430206179647,-0.25639898120663307,-10.01483858143798,30.434782608695656,46
GOOGL,ema_crossover,0.7071445955785246,13.826924562116872,0.6273443387546156,-12.743873192433163,28.57142857142857,14
GOOGL,bollinger_reversion,0.28049151028132874,6.218192806572254,0.45688010604467566,-10.513730464257275,52.63157894736842,19
GOOGL,adx_trend,0.007886481780038588,0.8252145552847034,0.1030515693467398,-10.486830938538894,43.333333333333336,90
GOOGL,obv_trend,0.004477412360108009,0.5931727319567592,0.09556064529248112,-15.842590019460479,28.000000000000004,25
GOOGL,macd,0.0,-24.251107123058556,-1.3426479564198621,-27.477669560663564,31.506849315068493,73
GOOGL,rsi_reversion,0.0,-8.639411035129118,-0.3959630008089521,-20.203307355651656,44.0,25
GOOGL,donchian_breakout,0.0,-16.283832990948987,-0.7421760520068744,-25.94324572314649,41.66666666666667,12
GOOGL,tsmom_63h,0.0,-4.722795118454215,-0.08532710952168567,-23.635712391912257,26.666666666666668,60
GOOGL,volume_momentum,0.0,-9.453936726368928,-0.39887662958843667,-16.68121046509001,42.592592592592595,54
META,bollinger_reversion,0.7429018127283549,7.37310536653335,0.6502962940834157,-4.611542129555679,52.63157894736842,19
META,donchian_breakout,0.14060863047429153,3.9907778034498964,0.25912417139570154,-12.813025098354014,44.44444444444444,9
