ticker,n_preds,mean_abs_error_pct,median_abs_error_pct,max_abs_error_pct,blend
GOOGL,22,1.1678895207230928,1.0748414672042081,3.7312371739193675,0.5
AAPL,22,1.437656398494478,1.0409663519666212,5.366830812181124,0.0
AMZN,22,1.6788705537869588,1.7233963144888431,4.216427049789536,0.5
TSLA,22,1.8375275326135552,1.4295790237490273,4.434571179662115,0.0
NVDA,22,1.8416204757520278,1.2225915033595822,8.329506273837412,0.5
META,22,2.0008241212845603,1.4323973213695118,9.641308155787648,0.5
MSFT,22,2.308414619328124,1.6752331271091931,11.654448545322671,1.0
ALL,154,1.7532576031403997,1.3675342068560186,11.654448545322671,
