short_window,long_window,valid_sharpe,valid_total_return_pct,train_total_return_pct
30,90,1.6514847338553933,63.570136793172296,648.1787022074036
15,90,1.6231237424626845,63.60312355601532,485.66858198318005
20,90,1.5290788361718763,57.75683378853842,510.0272652347571
30,60,1.4734424552131224,57.060468146727004,592.8427987938485
10,120,1.3762732340732007,48.5991374102511,683.0599481232534
