ticker,date,equity,weekly_return_pct,cum_return_pct
NVDA,2022-01-07,10000.0,0.0,0.0
NVDA,2022-01-14,10000.0,0.0,0.0
NVDA,2022-01-21,9315.285863759134,-6.84714136240866,-6.84714136240866
NVDA,2022-01-28,9102.469647878948,-2.2845913586843514,-8.97530352121052
NVDA,2022-02-04,9691.898428642051,6.475481968791308,-3.0810157135794936
NVDA,2022-02-11,9544.441275125782,-1.5214475739912303,-4.555587248742176
NVDA,2022-02-18,9422.092284722485,-1.2818874031123917,-5.779077152775159
NVDA,2022-02-25,9627.335992324646,2.17832410679053,-3.72664007675354
NVDA,2022-03-04,9140.728982013612,-5.054430537159805,-8.592710179863882
NVDA,2022-03-11,8807.556100985768,-3.6449268070788965,-11.924438990142317
NVDA,2022-03-18,10542.365145837568,19.696826508520736,5.423651458375689
NVDA,2022-03-25,11036.146351403371,4.683780145490046,10.361463514033709
NVDA,2022-04-01,10645.585229312892,-3.538926629410044,6.4558522931289275
NVDA,2022-04-08,9213.659792516197,-13.450885094168907,-7.863402074838033
NVDA,2022-04-15,8725.889905813485,-5.293986295205988,-12.741100941865147
NVDA,2022-04-22,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-04-29,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-05-06,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-05-13,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-05-20,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-05-27,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-06-03,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-06-10,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-06-17,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-06-24,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-07-01,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-07-08,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-07-15,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-07-22,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-07-29,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-08-05,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-08-12,8725.889905813485,0.0,-12.741100941865147
NVDA,2022-08-19,8175.319041712854,-6.309624233670674,-18.24680958287146
NVDA,2022-08-26,7447.514289729958,-8.9024629897552,-25.524857102700416
NVDA,2022-09-02,6250.69055417566,-16.070109958764444,-37.493094458243405
NVDA,2022-09-09,6589.630209293882,5.4224353642302825,-34.10369790706118
NVDA,2022-09-16,5915.905365787316,-10.224015947910969,-40.84094634212684
NVDA,2022-09-23,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-09-30,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-10-07,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-10-14,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-10-21,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-10-28,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-11-04,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-11-11,5915.905365787316,0.0,-40.84094634212684
NVDA,2022-11-18,5909.989460421529,-0.10000000000001119,-40.90010539578471
NVDA,2022-11-25,6240.218622283346,5.587643837156087,-37.597813777166536
NVDA,2022-12-02,6472.644319536438,3.724640294221704,-35.27355680463562
NVDA,2022-12-09,6520.586993527772,0.7406968717040163,-34.794130064722275
NVDA,2022-12-16,6355.664077950039,-2.52926486129903,-36.4433592204996
NVDA,2022-12-23,5832.130531523905,-8.237275287132473,-41.678694684760956
NVDA,2022-12-30,5595.253971563478,-4.061578503431262,-44.047460284365215
NVDA,2023-01-06,5595.253971563478,0.0,-44.047460284365215
NVDA,2023-01-13,5721.012987705273,2.24760157056203,-42.78987012294727
NVDA,2023-01-20,6039.242185313404,5.562462422162295,-39.60757814686596
NVDA,2023-01-27,6491.1297896963315,7.482521656141827,-35.08870210303668
NVDA,2023-02-03,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-02-10,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-02-17,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-02-24,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-03-03,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-03-10,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-03-17,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-03-24,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-03-31,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-04-07,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-04-14,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-04-21,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-04-28,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-05-05,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-05-12,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-05-19,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-05-26,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-06-02,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-06-09,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-06-16,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-06-23,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-06-30,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-07-07,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-07-14,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-07-21,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-07-28,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-08-04,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-08-11,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-08-18,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-08-25,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-09-01,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-09-08,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-09-15,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-09-22,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-09-29,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-10-06,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-10-13,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-10-20,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-10-27,6491.1297896963315,0.0,-35.08870210303668
NVDA,2023-11-03,6708.067078915601,3.3420574884147847,-32.91932921084398
NVDA,2023-11-10,7204.408586219935,7.3991732859142845,-27.95591413780064
NVDA,2023-11-17,7393.904306914438,2.6302744830013713,-26.060956930855617
NVDA,2023-11-24,7000.692841178989,-5.318049157976478,-29.993071588210118
NVDA,2023-12-01,6852.5491827048945,-2.1161285294891585,-31.474508172951055
NVDA,2023-12-08,6961.129247886439,1.5845207715632137,-30.388707521135615
NVDA,2023-12-15,7163.928787180441,2.9133138040150053,-28.360712128195587
NVDA,2023-12-22,7155.137250208949,-0.12271949139449623,-28.448627497910508
NVDA,2023-12-29,7256.536740369143,1.4171564655483415,-27.43463259630856
NVDA,2024-01-05,7194.260931268756,-0.8582029048917805,-28.057390687312434
NVDA,2024-01-12,7649.05761955926,6.321659620570608,-23.50942380440739
NVDA,2024-01-19,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-01-26,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-02-02,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-02-09,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-02-16,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-02-23,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-03-01,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-03-08,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-03-15,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-03-22,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-03-29,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-04-05,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-04-12,7649.05761955926,0.0,-23.50942380440739
NVDA,2024-04-19,7641.408561939701,-0.10000000000000009,-23.58591438060299
NVDA,2024-04-26,8798.14975978409,15.137800687766934,-12.018502402159104
NVDA,2024-05-03,8903.845973384714,1.201345924841557,-10.96154026615286
NVDA,2024-05-10,9013.05162261173,1.2264997569977343,-9.869483773882692
NVDA,2024-05-17,9452.948458350613,4.880664775460497,-5.470515416493871
NVDA,2024-05-24,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-05-31,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-06-07,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-06-14,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-06-21,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-06-28,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-07-05,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-07-12,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-07-19,9452.948458350613,0.0,-5.470515416493871
NVDA,2024-07-26,9345.134173242977,-1.1405360516103746,-6.548658267570229
NVDA,2024-08-02,8866.553449846439,-5.121175517916187,-11.334465501535618
NVDA,2024-08-09,8658.259559397939,-2.349209212200798,-13.417404406020616
NVDA,2024-08-16,9590.116369297855,10.762634262776881,-4.098836307021447
NVDA,2024-08-23,9590.116369297855,0.0,-4.098836307021447
NVDA,2024-08-30,9590.116369297855,0.0,-4.098836307021447
NVDA,2024-09-06,9590.116369297855,0.0,-4.098836307021447
NVDA,2024-09-13,9590.116369297855,0.0,-4.098836307021447
NVDA,2024-09-20,9590.116369297855,0.0,-4.098836307021447
NVDA,2024-09-27,10004.09324232927,4.316703333827476,0.04093242329270552
NVDA,2024-10-04,10294.162222455401,2.8995029644345083,2.941622224554008
NVDA,2024-10-11,10939.987514243488,6.273704239664135,9.399875142434876
NVDA,2024-10-18,10939.987514243488,0.0,9.399875142434876
NVDA,2024-10-25,10939.987514243488,0.0,9.399875142434876
NVDA,2024-11-01,10939.987514243488,0.0,9.399875142434876
NVDA,2024-11-08,10939.987514243488,0.0,9.399875142434876
NVDA,2024-11-15,10939.987514243488,0.0,9.399875142434876
NVDA,2024-11-22,10939.987514243488,0.0,9.399875142434876
NVDA,2024-11-29,10939.987514243488,0.0,9.399875142434876
NVDA,2024-12-06,10939.987514243488,0.0,9.399875142434876
NVDA,2024-12-13,10939.987514243488,0.0,9.399875142434876
NVDA,2024-12-20,11290.30351552019,3.2021608874836627,12.903035155201902
NVDA,2024-12-27,11483.923219659124,1.714920275374121,14.839232196591245
NVDA,2025-01-03,11512.632691980392,0.2499970765401871,15.126326919803933
