date,close,weighted_signal,signal,action,opinion,position
2022-03-01,134.06149291992188,0.0,0,HOLD,관망,0
2022-03-02,134.57150268554688,0.0,0,HOLD,관망,0
2022-03-03,133.89950561523438,0.0,0,HOLD,관망,0
2022-03-04,131.906494140625,0.0,0,HOLD,관망,0
2022-03-07,126.37850189208984,0.21521779799843224,1,BUY,매수,1
2022-03-08,127.10449981689453,0.0,0,HOLD,관망,1
2022-03-09,133.4199981689453,0.0,0,HOLD,관망,1
2022-03-10,132.42950439453125,0.0,0,HOLD,관망,1
2022-03-11,129.87049865722656,0.0,0,HOLD,관망,1
2022-03-14,125.95099639892578,0.0,0,HOLD,관망,1
2022-03-15,129.197998046875,0.0,0,HOLD,관망,1
2022-03-16,133.28050231933594,0.0,0,HOLD,관망,1
2022-03-17,133.83900451660156,0.0,0,HOLD,관망,1
2022-03-18,136.12550354003906,0.0,0,HOLD,관망,1
2022-03-21,136.10150146484375,0.0,0,HOLD,관망,1
2022-03-22,139.8679962158203,-0.21521779799843224,-1,SELL,매도,0
2022-03-23,138.27549743652344,0.0,0,HOLD,관망,0
2022-03-24,141.57200622558594,0.43264861470770455,1,BUY,매수,1
2022-03-25,141.67300415039062,0.0,0,HOLD,관망,1
2022-03-28,141.45550537109375,0.0,0,HOLD,관망,1
2022-03-29,142.5054931640625,0.136915789295431,0,HOLD,관망,1
2022-03-30,141.93850708007812,0.0,0,HOLD,관망,1
2022-03-31,139.0675048828125,0.0,0,HOLD,관망,1
2022-04-01,140.15049743652344,0.0,0,HOLD,관망,1
2022-04-04,142.97149658203125,0.0,0,HOLD,관망,1
2022-04-05,140.59100341796875,0.0,0,HOLD,관망,1
2022-04-06,136.54800415039062,0.0,0,HOLD,관망,1
2022-04-07,135.8885040283203,0.0,0,HOLD,관망,1
2022-04-08,133.28750610351562,0.0,0,HOLD,관망,1
2022-04-11,128.82350158691406,-0.43264861470770455,-1,SELL,매도,0
2022-04-12,127.7145004272461,0.21521779799843224,1,BUY,매수,1
2022-04-13,129.8939971923828,0.0,0,HOLD,관망,1
2022-04-14,126.7300033569336,0.21521779799843224,1,HOLD,관망,1
2022-04-18,127.67649841308594,0.0,0,HOLD,관망,1
2022-04-19,130.00900268554688,0.0,0,HOLD,관망,1
2022-04-20,128.0399932861328,-0.136915789295431,0,HOLD,관망,1
2022-04-21,124.81449890136719,0.0,0,HOLD,관망,1
2022-04-22,119.635498046875,0.21521779799843224,1,HOLD,관망,1
2022-04-25,123.0739974975586,0.0,0,HOLD,관망,1
2022-04-26,118.6500015258789,0.0,0,HOLD,관망,1
2022-04-27,114.29450225830078,0.21521779799843224,1,HOLD,관망,1
2022-04-28,118.52249908447266,0.0,0,HOLD,관망,1
2022-04-29,114.1094970703125,0.0,0,HOLD,관망,1
2022-05-02,116.58300018310547,0.0,0,HOLD,관망,1
2022-05-03,117.33399963378906,0.0,0,HOLD,관망,1
2022-05-04,122.26100158691406,0.0,0,HOLD,관망,1
2022-05-05,116.50550079345703,0.0,0,HOLD,관망,1
2022-05-06,115.74649810791016,0.0,0,HOLD,관망,1
2022-05-09,112.51100158691406,0.0,0,HOLD,관망,1
2022-05-10,114.3949966430664,0.0,0,HOLD,관망,1
2022-05-11,113.60250091552734,0.0,0,HOLD,관망,1
2022-05-12,112.84400177001953,0.0,0,HOLD,관망,1
2022-05-13,116.05049896240234,0.0,0,HOLD,관망,1
2022-05-16,114.44499969482422,0.0,0,HOLD,관망,1
2022-05-17,116.4729995727539,0.0,0,HOLD,관망,1
2022-05-18,111.89949798583984,0.0,0,HOLD,관망,1
2022-05-19,110.38400268554688,0.0,0,HOLD,관망,1
2022-05-20,108.90799713134766,0.0,0,HOLD,관망,1
2022-05-23,111.48799896240234,0.0,0,HOLD,관망,1
2022-05-24,105.97000122070312,0.21521779799843224,1,HOLD,관망,1
2022-05-25,105.80500030517578,0.21521779799843224,1,HOLD,관망,1
2022-05-26,107.7925033569336,0.0,0,HOLD,관망,1
2022-05-27,112.31649780273438,0.0,0,HOLD,관망,1
2022-05-31,113.76200103759766,0.0,0,HOLD,관망,1
2022-06-01,113.89199829101562,0.0,0,HOLD,관망,1
2022-06-02,117.62249755859375,0.0,0,HOLD,관망,1
2022-06-03,114.54100036621094,0.0,0,HOLD,관망,1
2022-06-06,116.82050323486328,0.0,0,HOLD,관망,1
2022-06-07,117.14949798583984,0.0,0,HOLD,관망,1
2022-06-08,117.19400024414062,0.0,0,HOLD,관망,1
2022-06-09,114.83550262451172,0.0,0,HOLD,관망,1
2022-06-10,111.1614990234375,0.0,0,HOLD,관망,1
2022-06-13,106.39250183105469,0.0,0,HOLD,관망,1
2022-06-14,106.71549987792969,0.0,0,HOLD,관망,1
2022-06-15,109.7645034790039,0.0,0,HOLD,관망,1
2022-06-16,106.03350067138672,0.0,0,HOLD,관망,1
2022-06-17,107.14350128173828,0.0,0,HOLD,관망,1
2022-06-21,111.54399871826172,0.0,0,HOLD,관망,1
2022-06-22,111.48750305175781,0.0,0,HOLD,관망,1
2022-06-23,112.24199676513672,0.0,0,HOLD,관망,1
2022-06-24,117.9749984741211,0.0,0,HOLD,관망,1
2022-06-27,115.83350372314453,0.0,0,HOLD,관망,1
2022-06-28,112.00749969482422,0.0,0,HOLD,관망,1
2022-06-29,111.70149993896484,0.0,0,HOLD,관망,1
2022-06-30,108.96299743652344,0.0,0,HOLD,관망,1
2022-07-01,108.73750305175781,0.0,0,HOLD,관망,1
2022-07-05,113.26300048828125,0.0,0,HOLD,관망,1
2022-07-06,114.5719985961914,0.0,0,HOLD,관망,1
2022-07-07,118.78299713134766,0.0,0,HOLD,관망,1
2022-07-08,119.35350036621094,0.136915789295431,0,HOLD,관망,1
2022-07-11,115.67649841308594,0.0,0,HOLD,관망,1
2022-07-12,114.02050018310547,0.0,0,HOLD,관망,1
2022-07-13,111.35350036621094,0.0,0,HOLD,관망,1
2022-07-14,110.36750030517578,0.0,0,HOLD,관망,1
2022-07-15,111.77749633789062,0.0,0,HOLD,관망,1
2022-07-18,109.02999877929688,0.0,0,HOLD,관망,1
2022-07-19,113.80999755859375,0.0,0,HOLD,관망,1
2022-07-20,113.9000015258789,0.0,0,HOLD,관망,1
2022-07-21,114.33999633789062,0.0,0,HOLD,관망,1
2022-07-22,107.9000015258789,0.0,0,HOLD,관망,1
2022-07-25,107.51000213623047,0.0,0,HOLD,관망,1
2022-07-26,105.0199966430664,0.0,0,HOLD,관망,1
2022-07-27,113.05999755859375,-0.136915789295431,0,HOLD,관망,1
2022-07-28,114.22000122070312,0.0,0,HOLD,관망,1
2022-07-29,116.31999969482422,0.0,0,HOLD,관망,1
2022-08-01,114.86000061035156,0.0,0,HOLD,관망,1
2022-08-02,115.12999725341797,0.0,0,HOLD,관망,1
2022-08-03,118.08000183105469,0.0,0,HOLD,관망,1
