date,close,weighted_signal,signal,action,opinion,position
2022-03-28,28.2189998626709,-0.1375068793414897,-1,HOLD,관망,0
2022-03-29,28.6560001373291,-0.1375068793414897,-1,HOLD,관망,0
2022-03-30,27.690000534057617,0.0,0,HOLD,관망,0
2022-03-31,27.285999298095703,-0.1375068793414897,-1,HOLD,관망,0
2022-04-01,26.711999893188477,-0.1375068793414897,-1,HOLD,관망,0
2022-04-04,27.360000610351562,0.0,0,HOLD,관망,0
2022-04-05,25.930999755859375,0.34695104376541147,1,BUY,매수,1
2022-04-06,24.406999588012695,0.0,0,HOLD,관망,1
2022-04-07,24.20800018310547,0.0,0,HOLD,관망,1
2022-04-08,23.118999481201172,0.0,0,HOLD,관망,1
2022-04-11,21.91699981689453,-0.2788301310638629,-1,SELL,매도,0
2022-04-12,21.503999710083008,0.0,0,HOLD,관망,0
2022-04-13,22.202999114990234,0.1375068793414897,1,BUY,매수,1
2022-04-14,21.257999420166016,0.1375068793414897,1,HOLD,관망,1
2022-04-18,21.783000946044922,0.1375068793414897,1,HOLD,관망,1
2022-04-19,22.197999954223633,0.1375068793414897,1,HOLD,관망,1
2022-04-20,21.48200035095215,0.1375068793414897,1,HOLD,관망,1
2022-04-21,20.183000564575195,0.1375068793414897,1,HOLD,관망,1
2022-04-22,19.514999389648438,0.1375068793414897,1,HOLD,관망,1
2022-04-25,19.902000427246094,0.1375068793414897,1,HOLD,관망,1
2022-04-26,18.788000106811523,0.1375068793414897,1,HOLD,관망,1
2022-04-27,18.415000915527344,0.1375068793414897,1,HOLD,관망,1
2022-04-28,19.781999588012695,0.0,0,HOLD,관망,1
2022-04-29,18.547000885009766,-0.34695104376541147,-1,SELL,매도,0
2022-05-02,19.533000946044922,0.0,0,HOLD,관망,0
2022-05-03,19.601999282836914,0.0,0,HOLD,관망,0
2022-05-04,20.333999633789062,0.0,0,HOLD,관망,0
2022-05-05,18.8439998626709,0.0,0,HOLD,관망,0
2022-05-06,18.674999237060547,0.0,0,HOLD,관망,0
2022-05-09,16.950000762939453,0.0,0,HOLD,관망,0
2022-05-10,17.594999313354492,0.0,0,HOLD,관망,0
2022-05-11,16.6299991607666,0.0,0,HOLD,관망,0
2022-05-12,16.174999237060547,0.0,0,HOLD,관망,0
2022-05-13,17.70599937438965,0.0,0,HOLD,관망,0
2022-05-16,17.263999938964844,0.0,0,HOLD,관망,0
2022-05-17,18.177000045776367,0.0,0,HOLD,관망,0
2022-05-18,16.937999725341797,0.0,0,HOLD,관망,0
2022-05-19,17.124000549316406,0.0,0,HOLD,관망,0
2022-05-20,16.694000244140625,0.0,0,HOLD,관망,0
2022-05-23,16.898000717163086,0.0,0,HOLD,관망,0
2022-05-24,16.15399932861328,0.0,0,HOLD,관망,0
2022-05-25,16.975000381469727,0.0,0,HOLD,관망,0
2022-05-26,17.85099983215332,0.0,0,HOLD,관망,0
2022-05-27,18.81100082397461,0.0,0,HOLD,관망,0
2022-05-31,18.672000885009766,0.0,0,HOLD,관망,0
2022-06-01,18.31999969482422,0.0,0,HOLD,관망,0
2022-06-02,19.591999053955078,0.0,0,HOLD,관망,0
2022-06-03,18.719999313354492,0.0,0,HOLD,관망,0
2022-06-06,18.785999298095703,0.0,0,HOLD,관망,0
2022-06-07,18.926000595092773,0.0,0,HOLD,관망,0
2022-06-08,18.648000717163086,0.0,0,HOLD,관망,0
2022-06-09,18.04800033569336,0.0,0,HOLD,관망,0
2022-06-10,16.974000930786133,0.0,0,HOLD,관망,0
2022-06-13,15.647000312805176,0.0,0,HOLD,관망,0
2022-06-14,15.836000442504883,0.0,0,HOLD,관망,0
2022-06-15,16.527000427246094,0.0,0,HOLD,관망,0
2022-06-16,15.60099983215332,0.0,0,HOLD,관망,0
2022-06-17,15.880000114440918,0.0,0,HOLD,관망,0
2022-06-21,16.56599998474121,0.0,0,HOLD,관망,0
2022-06-22,16.360000610351562,0.0,0,HOLD,관망,0
2022-06-23,16.225000381469727,0.0,0,HOLD,관망,0
2022-06-24,17.125999450683594,0.0,0,HOLD,관망,0
2022-06-27,16.868999481201172,0.0,0,HOLD,관망,0
2022-06-28,15.982000350952148,0.0,0,HOLD,관망,0
2022-06-29,15.541999816894531,0.0,0,HOLD,관망,0
2022-06-30,15.159000396728516,0.0,0,HOLD,관망,0
2022-07-01,14.52299976348877,0.0,0,HOLD,관망,0
2022-07-05,14.96399974822998,0.0,0,HOLD,관망,0
2022-07-06,15.130000114440918,0.0,0,HOLD,관망,0
2022-07-07,15.857999801635742,0.0,0,HOLD,관망,0
2022-07-08,15.838000297546387,0.0,0,HOLD,관망,0
2022-07-11,15.152000427246094,0.0,0,HOLD,관망,0
2022-07-12,15.081999778747559,0.0,0,HOLD,관망,0
2022-07-13,15.163999557495117,0.0,0,HOLD,관망,0
2022-07-14,15.371999740600586,0.0,0,HOLD,관망,0
2022-07-15,15.76200008392334,0.0,0,HOLD,관망,0
2022-07-18,16.10099983215332,0.0,0,HOLD,관망,0
2022-07-19,16.992000579833984,0.0,0,HOLD,관망,0
2022-07-20,17.80699920654297,0.0,0,HOLD,관망,0
2022-07-21,18.049999237060547,-0.1375068793414897,-1,HOLD,관망,0
2022-07-22,17.319000244140625,-0.1375068793414897,-1,HOLD,관망,0
2022-07-25,17.02400016784668,0.0,0,HOLD,관망,0
2022-07-26,16.533000946044922,0.0,0,HOLD,관망,0
2022-07-27,17.790000915527344,0.0,0,HOLD,관망,0
2022-07-28,17.983999252319336,0.0,0,HOLD,관망,0
2022-07-29,18.163000106811523,-0.1375068793414897,-1,HOLD,관망,0
2022-08-01,18.44099998474121,-0.1375068793414897,-1,HOLD,관망,0
2022-08-02,18.525999069213867,-0.1375068793414897,-1,HOLD,관망,0
2022-08-03,18.89299964904785,-0.1375068793414897,-1,HOLD,관망,0
2022-08-04,19.21500015258789,-0.1375068793414897,-1,HOLD,관망,0
2022-08-05,18.98900032043457,-0.1375068793414897,-1,HOLD,관망,0
2022-08-08,17.792999267578125,0.0,0,HOLD,관망,0
2022-08-09,17.086000442504883,0.0,0,HOLD,관망,0
2022-08-10,18.097000122070312,0.0,0,HOLD,관망,0
2022-08-11,17.941999435424805,0.0,0,HOLD,관망,0
2022-08-12,18.708999633789062,0.0,0,HOLD,관망,0
2022-08-15,19.031999588012695,0.34695104376541147,1,BUY,매수,1
2022-08-16,18.878999710083008,0.0,0,HOLD,관망,1
2022-08-17,18.334999084472656,0.0,0,HOLD,관망,1
2022-08-18,18.773000717163086,0.0,0,HOLD,관망,1
2022-08-19,17.849000930786133,0.0,0,HOLD,관망,1
2022-08-22,17.034000396728516,0.0,0,HOLD,관망,1
2022-08-23,17.180999755859375,0.0,0,HOLD,관망,1
2022-08-24,17.222000122070312,0.0,0,HOLD,관망,1
2022-08-25,17.913000106811523,0.0,0,HOLD,관망,1
2022-08-26,16.260000228881836,0.0,0,HOLD,관망,1
2022-08-29,15.800999641418457,0.23671194582923596,1,HOLD,관망,1
2022-08-30,15.468000411987305,0.23671194582923596,1,HOLD,관망,1
2022-08-31,15.093999862670898,0.23671194582923596,1,HOLD,관망,1
2022-09-01,13.937000274658203,0.3742188251707257,1,HOLD,관망,1
2022-09-02,13.647000312805176,0.3742188251707257,1,HOLD,관망,1
2022-09-06,13.46500015258789,0.3742188251707257,1,HOLD,관망,1
2022-09-07,13.71399974822998,0.3742188251707257,1,HOLD,관망,1
2022-09-08,13.989999771118164,0.1375068793414897,1,HOLD,관망,1
2022-09-09,14.38700008392334,0.0,0,HOLD,관망,1
2022-09-12,14.505000114440918,0.0,0,HOLD,관망,1
2022-09-13,13.130999565124512,0.1375068793414897,1,HOLD,관망,1
2022-09-14,13.128000259399414,0.1375068793414897,1,HOLD,관망,1
2022-09-15,12.928999900817871,-0.20944416442392177,-1,SELL,매도,0
2022-09-16,13.197999954223633,0.1375068793414897,1,BUY,매수,1
2022-09-19,13.381999969482422,0.0,0,HOLD,관망,1
2022-09-20,13.175999641418457,0.0,0,HOLD,관망,1
2022-09-21,13.26099967956543,0.0,0,HOLD,관망,1
2022-09-22,12.560999870300293,0.0,0,HOLD,관망,1
2022-09-23,12.515999794006348,0.0,0,HOLD,관망,1
2022-09-26,12.227999687194824,0.0,0,HOLD,관망,1
2022-09-27,12.413000106811523,0.0,0,HOLD,관망,1
2022-09-28,12.736000061035156,0.0,0,HOLD,관망,1
2022-09-29,12.220000267028809,0.0,0,HOLD,관망,1
2022-09-30,12.138999938964844,0.1375068793414897,1,HOLD,관망,1
2022-10-03,12.51200008392334,0.0,0,HOLD,관망,1
2022-10-04,13.166999816894531,0.0,0,HOLD,관망,1
2022-10-05,13.208999633789062,0.0,0,HOLD,관망,1
2022-10-06,13.130000114440918,0.0,0,HOLD,관망,1
2022-10-07,12.076000213623047,0.0,0,HOLD,관망,1
2022-10-10,11.670000076293945,0.0,0,HOLD,관망,1
2022-10-11,11.586000442504883,0.0,0,HOLD,관망,1
2022-10-12,11.5,0.0,0,HOLD,관망,1
2022-10-13,11.960000038146973,0.0,0,HOLD,관망,1
2022-10-14,11.22700023651123,0.0,0,HOLD,관망,1
2022-10-17,11.887999534606934,0.0,0,HOLD,관망,1
2022-10-18,11.967000007629395,0.0,0,HOLD,관망,1
2022-10-19,12.050999641418457,0.0,0,HOLD,관망,1
2022-10-20,12.194000244140625,0.0,0,HOLD,관망,1
2022-10-21,12.465999603271484,0.0,0,HOLD,관망,1
2022-10-24,12.598999977111816,0.0,0,HOLD,관망,1
2022-10-25,13.26099967956543,0.0,0,HOLD,관망,1
2022-10-26,12.895999908447266,0.0,0,HOLD,관망,1
2022-10-27,13.175999641418457,0.0,0,HOLD,관망,1
2022-10-28,13.833999633789062,-0.3742188251707257,-1,SELL,매도,0
2022-10-31,13.496999740600586,0.0,0,HOLD,관망,0
2022-11-01,13.543000221252441,-0.1375068793414897,-1,HOLD,관망,0
2022-11-02,13.218999862670898,0.0,0,HOLD,관망,0
2022-11-03,13.420999526977539,-0.1375068793414897,-1,HOLD,관망,0
2022-11-04,14.156000137329102,-0.3742188251707257,-1,HOLD,관망,0
2022-11-07,14.300999641418457,-0.3742188251707257,-1,HOLD,관망,0
2022-11-08,14.60200023651123,-0.3742188251707257,-1,HOLD,관망,0
2022-11-09,13.776000022888184,0.0,0,HOLD,관망,0
2022-11-10,15.75,-0.3742188251707257,-1,HOLD,관망,0
2022-11-11,16.32699966430664,-0.3742188251707257,-1,HOLD,관망,0
2022-11-14,16.295000076293945,-0.3742188251707257,-1,HOLD,관망,0
2022-11-15,16.666000366210938,-0.09538869410686276,0,HOLD,관망,0
2022-11-16,15.90999984741211,0.0,0,HOLD,관망,0
2022-11-17,15.677000045776367,0.0,0,HOLD,관망,0
2022-11-18,15.409000396728516,0.34695104376541147,1,BUY,매수,1
2022-11-21,15.317000389099121,0.0,0,HOLD,관망,1
2022-11-22,16.038000106811523,0.0,0,HOLD,관망,1
2022-11-23,16.518999099731445,-0.1375068793414897,-1,SELL,매도,0
2022-11-25,16.270000457763672,0.0,0,HOLD,관망,0
2022-11-28,15.82699966430664,0.0,0,HOLD,관망,0
2022-11-29,15.638999938964844,0.0,0,HOLD,관망,0
2022-11-30,16.92300033569336,-0.1375068793414897,-1,HOLD,관망,0
2022-12-01,17.135000228881836,0.0,0,HOLD,관망,0
2022-12-02,16.875999450683594,0.0,0,HOLD,관망,0
2022-12-05,16.610000610351562,0.0,0,HOLD,관망,0
2022-12-06,15.987000465393066,0.0,0,HOLD,관망,0
2022-12-07,16.1200008392334,0.0,0,HOLD,관망,0
2022-12-08,17.16900062561035,0.0,0,HOLD,관망,0
2022-12-09,17.000999450683594,0.0,0,HOLD,관망,0
2022-12-12,17.53499984741211,0.0,0,HOLD,관망,0
2022-12-13,18.07200050354004,0.0,0,HOLD,관망,0
2022-12-14,17.673999786376953,0.0,0,HOLD,관망,0
2022-12-15,16.95199966430664,0.0,0,HOLD,관망,0
2022-12-16,16.570999145507812,0.0,0,HOLD,관망,0
2022-12-19,16.253999710083008,0.0,0,HOLD,관망,0
